,statistics.Mean,statistics.SD,statistics.Naive.SE,statistics.Time.series.SE,quantiles.2.5.,quantiles.25.,quantiles.50.,quantiles.75.,quantiles.97.5.
delta[43],-0.015297129,0.288868382,0.0023586,0.003839106,-0.652411941,-0.137664617,-0.007742704,0.119161369,0.563225432
delta[44],-0.02092524,0.289708433,0.002365459,0.00424367,-0.675187381,-0.140462988,-0.009759191,0.115022101,0.561038164
delta[45],-0.009978766,0.292807232,0.002390761,0.003636572,-0.614422878,-0.139082344,-0.010138917,0.11891497,0.601577722
delta[46],-0.014490759,0.296215188,0.002418587,0.004011255,-0.67530829,-0.138743657,-0.006517375,0.119135976,0.595433902
delta[47],-0.006286807,0.299634365,0.002446504,0.004342266,-0.635898197,-0.133718015,-0.003391874,0.124320249,0.631339789
delta[48],-0.01339245,0.288806114,0.002358092,0.00431844,-0.646505595,-0.141333115,-0.006509861,0.121075783,0.586534348
delta[49],0.042740053,0.282784065,0.002308922,0.004907588,-0.503628786,-0.097222604,0.024740527,0.161582548,0.685392793
delta[50],-0.028411555,0.302033239,0.002466091,0.005258194,-0.67024523,-0.146052772,-0.013788455,0.110028171,0.54910279
delta[51],0.00443875,0.293906323,0.002399735,0.003657226,-0.60184647,-0.126445207,0.001676684,0.131482974,0.626665692
delta[52],0.009660101,0.298027147,0.002433381,0.004734818,-0.591011323,-0.126366765,0.002045664,0.137242666,0.648062868
delta[53],-0.001271832,0.295586534,0.002413454,0.004843966,-0.629081068,-0.12455509,-0.000181407,0.128576305,0.628303195
delta[54],0.005713957,0.302314619,0.002468389,0.004069591,-0.631709032,-0.123220732,0.003130094,0.133057116,0.654703549
delta[55],0.00448437,0.289105967,0.00236054,0.003748096,-0.602967628,-0.127837624,0.002535181,0.132011141,0.634306937
delta[56],0.00255149,0.297274119,0.002427233,0.004109101,-0.645774171,-0.125371409,0.001107596,0.128385081,0.6148826
delta[57],0.008169415,0.295952992,0.002416446,0.003627036,-0.603372831,-0.12773868,0.003394548,0.136701233,0.645732111
delta[58],0.002923194,0.289459909,0.00236343,0.003824734,-0.607511353,-0.129658949,0.002303404,0.132561842,0.607932354
delta[59],-0.001028701,0.304231861,0.002484043,0.003355233,-0.641351162,-0.13003893,6.89E-05,0.125901699,0.642783131
delta[60],-0.002583102,0.295096139,0.00240945,0.005064092,-0.647473964,-0.131257668,-0.000554116,0.131444631,0.601709887
delta[61],0.000460615,0.315920592,0.002579481,0.004504789,-0.650724201,-0.131939733,-0.000213549,0.131496475,0.661647954
delta[62],-0.00819544,0.302353952,0.00246871,0.004563362,-0.676009131,-0.134404912,-0.002152687,0.126972332,0.603766808
delta[63],0.003116537,0.299519696,0.002445568,0.004971225,-0.618631548,-0.131812296,0.00028693,0.133327233,0.626965729
delta[64],0.007944255,0.296547969,0.002421304,0.004074018,-0.579507601,-0.127498548,3.56E-05,0.133660686,0.658934449
delta[65],0.002601593,0.296474965,0.002420708,0.003176268,-0.612422215,-0.128473402,0.000655295,0.133474191,0.631350546
delta[66],-0.006489675,0.291984195,0.002384041,0.003681408,-0.640466605,-0.134993509,-0.00107709,0.124488695,0.606488054
delta[67],-0.003714235,0.296772328,0.002423136,0.004155747,-0.631547435,-0.12956584,-0.001870239,0.127126995,0.597942942
delta[68],0.002474008,0.302565855,0.00247044,0.003838523,-0.637893585,-0.131160163,0.000951126,0.132702288,0.647469983
delta[69],-0.000194193,0.302315206,0.002468393,0.004005675,-0.631550247,-0.128899542,-0.000270585,0.129695934,0.632788464
delta[70],0.003265896,0.304719921,0.002488028,0.004064288,-0.625448718,-0.13153068,-0.002375743,0.131260787,0.641301647
delta[71],0.00232115,0.295077755,0.0024093,0.00375117,-0.607633861,-0.128428496,-0.000781445,0.128336688,0.640851634
delta[72],0.006425119,0.295351771,0.002411537,0.004089691,-0.598031498,-0.123974359,0.004091484,0.132263884,0.652503833
delta[73],0.008469237,0.303673952,0.002479487,0.004713543,-0.616496571,-0.127481828,0.003586518,0.135635179,0.665716008
delta[74],-0.000439525,0.295275329,0.002410913,0.003977799,-0.639583824,-0.127201648,0.002171364,0.13226696,0.633064893
delta[75],6.87E-05,0.295134164,0.00240976,0.003490494,-0.624431766,-0.125548174,-0.000475819,0.129946207,0.601702317
delta[76],0.003817555,0.296005931,0.002416878,0.003875033,-0.612715495,-0.130466293,0.001985824,0.136961016,0.631944035
delta[77],0.004982703,0.295860323,0.002415689,0.004342755,-0.593384037,-0.126453349,0.00375665,0.132905788,0.63475111
delta[78],-0.002247693,0.287979026,0.002351339,0.003345871,-0.633186974,-0.128654286,0.003176392,0.129413661,0.597610779
delta[79],0.009564898,0.297269182,0.002427193,0.004464986,-0.590643749,-0.127201519,0.001672854,0.132464352,0.685696463
delta[80],0.002892696,0.286249576,0.002337218,0.00428388,-0.61124974,-0.126491692,0.002788121,0.134353081,0.603772147
delta[81],0.012017457,0.298486074,0.002437129,0.003460396,-0.614646811,-0.117268118,0.005671125,0.13953098,0.659786508
delta[82],-0.001339746,0.302239452,0.002467775,0.005595653,-0.628855375,-0.131133092,0.000510907,0.126324875,0.624347559
delta[83],0.001872291,0.288385395,0.002354657,0.003476813,-0.611691839,-0.127127381,-0.000641835,0.129041476,0.623813906
delta[84],0.003051581,0.293672061,0.002397822,0.003823909,-0.613706925,-0.127458419,0.001162373,0.130093888,0.630305305
delta[85],4.96E-05,0.307462015,0.002510417,0.004328367,-0.612317177,-0.132078796,-3.33E-05,0.132273475,0.641919542
delta[86],0.000111821,0.289712878,0.002365496,0.005005706,-0.607873333,-0.130975978,-0.000767092,0.129083805,0.608804179
delta[87],0.003352982,0.298365845,0.002436147,0.004106579,-0.62632305,-0.123024808,0.001135102,0.130769909,0.636106023
delta[88],0.009606473,0.297390789,0.002428186,0.00342645,-0.596307565,-0.122102151,0.001778292,0.132237375,0.669930125
delta[89],7.07E-05,0.308965555,0.002522693,0.005280843,-0.655678117,-0.125238054,0.001911849,0.133808269,0.650918882
delta[90],0.006276295,0.288685296,0.002357106,0.00340534,-0.595861059,-0.124715809,0.003312448,0.133634504,0.632758709
delta[91],-0.002649293,0.302148365,0.002467031,0.005413747,-0.640920283,-0.130016577,-0.000170584,0.131283707,0.618060515
delta[92],-0.002212072,0.298633451,0.002438332,0.003848789,-0.634779932,-0.130567122,-0.001023397,0.130707502,0.612413387
delta[93],-0.001619097,0.299313534,0.002443885,0.00341828,-0.65036706,-0.129101811,0.00286059,0.130876471,0.619791908
delta[94],0.000318579,0.298990731,0.002441249,0.004051535,-0.640375475,-0.128102011,8.68E-05,0.129534953,0.648696081
delta[95],-0.005202407,0.295870026,0.002415769,0.004469266,-0.638318168,-0.134207144,-0.00305763,0.12543748,0.601330481
delta[96],0.008443937,0.311675001,0.002544816,0.004526348,-0.61121665,-0.126149808,0.003928654,0.134615446,0.670999232
delta[97],0.001995503,0.293277955,0.002394604,0.003626198,-0.612772552,-0.124111329,0.005224297,0.13164731,0.604211008
delta[98],0.004507535,0.291453905,0.002379711,0.003814441,-0.621326295,-0.126023331,0.004265241,0.134695855,0.599522969
delta[99],0.009611959,0.296381705,0.002419946,0.004265569,-0.580848486,-0.122844395,0.003445224,0.136478951,0.633144348
delta[100],-0.006017249,0.307596142,0.002511512,0.004659678,-0.66669792,-0.13097523,0.001546257,0.12920581,0.595740828
delta[101],-0.000263494,0.309357393,0.002525893,0.00434927,-0.633653031,-0.128325435,-6.12E-05,0.13282544,0.620977142
delta[102],0.004264826,0.302738024,0.002471846,0.00444516,-0.611714017,-0.12856103,0.000786291,0.134286367,0.642298547
delta[103],0.00219314,0.304296705,0.002484572,0.004932682,-0.630591675,-0.124832,0.002494671,0.135772119,0.635970623
delta[104],-0.000492633,0.294485922,0.002404467,0.004134765,-0.607838654,-0.131104787,-0.001812104,0.126008004,0.624271007
delta[105],0.000432969,0.293749672,0.002398456,0.003812085,-0.621852147,-0.129274809,0.0012765,0.128568232,0.624634777
delta[106],8.61E-05,0.301519521,0.002461897,0.003524911,-0.62446117,-0.131406466,-0.002264485,0.124484643,0.641715546
delta[107],0.006077379,0.306087493,0.002499194,0.004002657,-0.623497401,-0.124055244,0.002235164,0.135552072,0.647147827
delta[108],0.001881108,0.288560829,0.002356089,0.00387622,-0.605245427,-0.124834871,0.00161606,0.125980819,0.630686694
delta[109],-0.003722074,0.292379541,0.002387269,0.004348715,-0.624689696,-0.132040745,-0.001229407,0.12808322,0.601293083
delta[110],0.001821094,0.287052838,0.002343777,0.00416339,-0.608444666,-0.124365871,0.004304618,0.12745214,0.618044074
delta[111],0.002778611,0.296635981,0.002422023,0.003981867,-0.629349,-0.124572481,0.004991344,0.13607152,0.611240342
delta[112],0.003109355,0.292897124,0.002391495,0.003645818,-0.607367185,-0.127497029,0.000510585,0.127775768,0.624814907
delta[113],0.000464887,0.299938526,0.002448988,0.003854116,-0.621256363,-0.128178196,0.000804011,0.128941866,0.615721869
delta[114],0.005863282,0.291779686,0.002382371,0.004032408,-0.585284675,-0.125405556,0.003175017,0.133349631,0.639589697
delta[115],-4.38E-05,0.300122441,0.002450489,0.004129523,-0.636789243,-0.127625158,0.000583886,0.127839667,0.614598167
delta[116],-0.006929385,0.291015926,0.002376135,0.003226265,-0.633850622,-0.130805715,-0.003589288,0.121758241,0.611184504
delta[117],0.001699825,0.301034334,0.002457935,0.004278156,-0.640137414,-0.129917651,0.000715053,0.131945342,0.641117985
delta[118],0.00438584,0.292637665,0.002389377,0.003689967,-0.610027701,-0.124440552,0.001215262,0.132582413,0.632505687
delta[119],-0.000325999,0.310906509,0.002538541,0.004537518,-0.644650363,-0.128892556,0.001276396,0.131925337,0.643063908
delta[120],0.008340047,0.294842255,0.002407377,0.004302488,-0.587507273,-0.126602764,0.000832797,0.131451072,0.66477205
delta[121],-0.003163771,0.292938734,0.002391835,0.003512227,-0.627577207,-0.127541586,-0.001022296,0.1318997,0.58881591
delta[122],0.003590539,0.306293481,0.002500876,0.004174719,-0.621603223,-0.128034011,-0.000671056,0.128314969,0.651099199
delta[123],0.001718864,0.293336746,0.002395084,0.0041443,-0.608759599,-0.126503341,-0.000100688,0.127286539,0.627767565
delta[124],0.003363749,0.299280999,0.002443619,0.004361712,-0.617652006,-0.129764933,0.002436819,0.135428381,0.635211978
delta[125],0.001802121,0.287322153,0.002345976,0.003764636,-0.647546235,-0.128483972,0.002303012,0.131688196,0.61077994
delta[126],-0.001915842,0.29556202,0.002413254,0.003758413,-0.627453051,-0.128622872,0.000817277,0.124027495,0.619813535
delta[127],-0.00729589,0.296872261,0.002423952,0.003495848,-0.63633658,-0.134246214,-0.002935599,0.124145751,0.617930152
delta[128],0.000512833,0.288082707,0.002352185,0.004215886,-0.598493803,-0.131224872,-0.002863652,0.128404813,0.633588872
delta[129],0.00141397,0.293098113,0.002393136,0.003568317,-0.617775307,-0.124639659,0.003809838,0.128670007,0.619040668
delta[130],-0.006960722,0.286868349,0.00234227,0.003585747,-0.615743362,-0.130391199,-0.001992069,0.12185128,0.575169853
delta[131],2.08E-05,0.297017731,0.00242514,0.004010795,-0.618747482,-0.127123152,-0.000687868,0.126323534,0.641303462
delta[132],-0.004659552,0.296275737,0.002419081,0.004486839,-0.613867289,-0.133485209,-0.004145751,0.125079752,0.6041158
delta[133],0.004909579,0.302332494,0.002468534,0.003542816,-0.624587157,-0.130782474,0.000260466,0.131314828,0.683371466
delta[134],0.016112867,0.296080132,0.002417484,0.004664285,-0.575576552,-0.124369151,0.004842281,0.141889798,0.695057038
delta[135],0.004590375,0.296365975,0.002419818,0.004456636,-0.607237099,-0.131943786,0.001772086,0.133229304,0.650862665
delta[136],0.005433883,0.296958888,0.002424659,0.004984342,-0.609124429,-0.126248366,0.002788143,0.133189908,0.646592568
delta[137],0.003022443,0.293136201,0.002393447,0.004139334,-0.635562758,-0.127097426,0.002752005,0.135487188,0.6420717
delta[138],0.003268424,0.293749824,0.002398457,0.004232364,-0.632065593,-0.127867822,0.003392525,0.134315287,0.610798625
delta[139],0.008521527,0.295761951,0.002414886,0.004662454,-0.616751747,-0.118807729,0.00592989,0.136206973,0.637042765
delta[140],0.007117995,0.29594339,0.002416368,0.003994193,-0.598624888,-0.129624041,0.002547489,0.133818029,0.653898243
delta[141],0.002504082,0.308464149,0.002518599,0.004468222,-0.634423609,-0.135262736,-0.001462681,0.132224483,0.654533723
delta[142],0.007719641,0.302147137,0.002467021,0.003724826,-0.611744331,-0.125096265,0.003942383,0.136447345,0.63850103
delta[143],0.003673332,0.300136066,0.002450601,0.003650593,-0.600668963,-0.12588581,0.004234822,0.131897541,0.635009318
delta[144],0.00999369,0.290022408,0.002368023,0.003661465,-0.572221841,-0.120846745,0.00216592,0.130674938,0.659554806
delta[145],0.001713895,0.306827129,0.002505233,0.004362801,-0.642693523,-0.130877562,-0.001776547,0.129795985,0.654318654
delta[146],0.009857139,0.29746698,0.002428808,0.003665293,-0.620863677,-0.123066029,0.005541283,0.133503728,0.659869288
delta[147],0.009046399,0.306453443,0.002502182,0.004905045,-0.602534315,-0.124376793,0.001726622,0.136507747,0.662032316
delta[148],0.001193577,0.291775354,0.002382336,0.003658773,-0.623160489,-0.126816094,0.001184843,0.134366199,0.618323094
delta[149],-0.0074264,0.293117247,0.002393292,0.003803758,-0.645904218,-0.130817613,-0.002933177,0.121524322,0.604807913
delta[150],0.004216616,0.29920867,0.002443029,0.003845294,-0.625803676,-0.127517647,0.002964349,0.131532336,0.645558881
delta[151],0.00442553,0.289802632,0.002366229,0.003775819,-0.602796904,-0.126235924,0.001963778,0.133585388,0.628676497
delta[152],-0.001577136,0.304615582,0.002487176,0.004198535,-0.644469421,-0.132329542,-0.001187775,0.132025088,0.623834157
delta[153],-0.003178652,0.301706444,0.002463423,0.00407451,-0.645402525,-0.130696578,-0.000566004,0.126026291,0.645538279
delta[154],0.002372399,0.305494769,0.002494354,0.004061492,-0.640518978,-0.126425092,0.001973992,0.13186841,0.641350141
delta[155],0.005479794,0.291243206,0.002377991,0.00364528,-0.584316806,-0.126539931,0.003041453,0.130708827,0.641530291
delta[156],0.000525451,0.293407421,0.002395662,0.003265324,-0.63371484,-0.127924594,0.002380102,0.13202118,0.626829069
delta[157],0.009375601,0.291407961,0.002379336,0.004279611,-0.587482321,-0.12491511,0.005950108,0.136005475,0.631686583
delta[158],-0.003673111,0.29149724,0.002380065,0.004471634,-0.621762543,-0.130782453,-0.002687919,0.126852643,0.611695705
delta[159],-0.004612542,0.297113768,0.002425924,0.004619088,-0.637901174,-0.133969874,-0.003277243,0.128893479,0.605418018
delta[160],0.00730792,0.296246784,0.002418845,0.004229825,-0.60341066,-0.12487854,0.002398403,0.134461375,0.643070525
delta[161],-0.003093687,0.297246177,0.002427005,0.00344524,-0.634235917,-0.131779418,-0.000468944,0.127312181,0.614689519
delta[162],0.006028701,0.289149051,0.002360892,0.003690863,-0.595825703,-0.129241175,0.001823278,0.136612797,0.629127221
delta[163],-0.003073547,0.29291539,0.002391644,0.004129547,-0.660180287,-0.128364042,0.001404344,0.13052238,0.603294126
delta[164],0.003407154,0.29862904,0.002438296,0.003639409,-0.617444535,-0.125807746,0.001424248,0.131805107,0.636962092
delta[165],0.00161844,0.289049956,0.002360083,0.003568754,-0.598265986,-0.130339524,0.000870439,0.129191193,0.635524645
delta[166],0.001730842,0.29982567,0.002448066,0.003848484,-0.609673548,-0.129232189,-0.000447737,0.132270451,0.642915949
delta[167],0.004974363,0.300355609,0.002452393,0.004001954,-0.610656559,-0.125794515,0.00251427,0.131795776,0.667840039
delta[168],0.001279219,0.293815606,0.002398994,0.003717668,-0.625050547,-0.128382712,0.002011326,0.13268885,0.614795488
delta[169],-0.003394379,0.302228713,0.002467687,0.004358238,-0.641807298,-0.131989785,-0.000779454,0.130380616,0.61036454
delta[170],0.003521315,0.288467981,0.002355331,0.003578445,-0.591797432,-0.128175958,0.002176106,0.129618533,0.627075753
delta[171],-0.002585158,0.295788938,0.002415107,0.004119535,-0.641615346,-0.129205547,-0.001444109,0.128457905,0.641818987
delta[172],-0.004836451,0.295995171,0.00241679,0.003709218,-0.63043138,-0.133132403,-0.001487844,0.124757127,0.620620919
delta[173],0.006861705,0.298971362,0.002441091,0.004119135,-0.620570106,-0.126015247,0.003428354,0.137797585,0.655300917
delta[174],0.001746206,0.302101684,0.00246665,0.004050005,-0.630145764,-0.127701457,0.000969369,0.133279247,0.635861483
delta[175],0.006276885,0.301248141,0.002459681,0.004318042,-0.615987736,-0.125330556,2.74E-05,0.129959283,0.662210978
delta[176],-0.004719121,0.289336899,0.002362426,0.003521691,-0.651654869,-0.129405931,-0.001008093,0.125728308,0.589362293
home,0.293590264,0.677204087,0.005529348,0.011841887,-1.119453311,-0.127222217,0.324865703,0.752448104,1.54342054
lambda1[1],0.031247962,0.880658245,0.007190544,0.017499826,-1.714380753,-0.242266347,0.012683456,0.304693786,1.819426843
lambda1[2],0.0384936,0.810000304,0.006613625,0.01648884,-1.671309715,-0.238672066,0.018939702,0.305109118,1.795423263
lambda1[3],0.044424148,0.857676207,0.007002897,0.016618978,-1.637978027,-0.236991294,0.019849821,0.310224093,1.926461137
lambda1[4],-0.086332688,0.786644987,0.006422929,0.013682641,-2.044917446,-0.31613219,-0.022266658,0.225058177,1.42063159
lambda1[5],0.054463527,0.815358481,0.006657374,0.013707291,-1.620985519,-0.232086131,0.0185346,0.299274625,2.007803847
lambda1[6],0.050958351,0.927209479,0.007570634,0.022096281,-1.668882847,-0.239112662,0.018207274,0.312448245,2.058493831
lambda1[7],0.042546604,0.888454077,0.007254197,0.020837321,-1.845772905,-0.226029357,0.022709757,0.309258958,1.881276257
lambda1[8],0.051785151,0.824241591,0.006729904,0.014917049,-1.632630055,-0.235015962,0.017809648,0.310997955,1.838620021
lambda1[9],0.049043386,0.833386861,0.006804575,0.015413415,-1.577815257,-0.239907088,0.01575331,0.310377858,1.937125314
lambda1[10],0.172315304,0.583554944,0.004764706,0.010941049,-0.900071025,-0.111162537,0.085743699,0.41056867,1.553502924
lambda1[11],0.050122119,0.851487572,0.006952367,0.014745037,-1.695720494,-0.227615682,0.022895172,0.312983318,1.83973479
lambda1[12],0.089269073,0.915509542,0.007475104,0.023628648,-1.565370875,-0.230260241,0.02231204,0.319486041,2.1985817
