,statistics.Mean,statistics.SD,statistics.Naive.SE,statistics.Time.series.SE,quantiles.2.5.,quantiles.25.,quantiles.50.,quantiles.75.,quantiles.97.5.
lambda1[22],-0.556058564,0.776562355,0.006340605,0.05049881,-2.55907885,-0.916290833,-0.324409565,-0.024140504,0.424349441
lambda1[23],-0.262351931,1.267959843,0.010352849,0.053035199,-3.622065293,-0.445135887,-0.038496416,0.219259627,1.618801939
lambda1[24],0.231069323,1.970978423,0.016092971,0.143620329,-2.502786445,-0.243426948,0.030789805,0.402568284,3.815421373
lambda2[1],-0.123739193,0.875668972,0.007149807,0.022711807,-2.213254207,-0.340594791,-0.029817716,0.203444198,1.478268764
lambda2[2],-0.03499794,0.603898224,0.004930808,0.009358335,-1.358952729,-0.277648602,-0.024194625,0.201206802,1.292725586
lambda2[3],0.188367837,0.776150152,0.006337239,0.022674576,-1.039065718,-0.159893391,0.055920506,0.381594699,2.145083673
lambda2[4],-0.078867578,0.826187687,0.006745794,0.014485041,-2.114890342,-0.310597524,-0.023191746,0.216419786,1.616465249
lambda2[5],-0.118516633,0.862582433,0.007042956,0.02000723,-2.281169517,-0.336814459,-0.034475163,0.198433447,1.496007947
lambda2[6],-0.020584597,0.801607474,0.006545098,0.014135869,-1.793098079,-0.283085491,-0.007591856,0.231884652,1.761191291
lambda2[7],-0.089594138,0.830329118,0.006779609,0.016167454,-2.166526835,-0.319474644,-0.028939326,0.204700466,1.568297654
lambda2[8],0.353610379,0.762200085,0.006223338,0.030248523,-0.652641267,-0.064580589,0.136429761,0.570766556,2.475157936
lambda2[9],0.300168642,0.67899584,0.005543978,0.024532267,-0.661618362,-0.072986059,0.12116983,0.510224821,2.159718602
lambda2[10],-0.238793435,0.533619004,0.004356981,0.015225746,-1.521908161,-0.483775167,-0.140038855,0.055670493,0.700193213
lambda2[11],0.374449099,0.718093452,0.005863208,0.035169343,-0.546852552,-0.038092158,0.166004954,0.6078621,2.287634429
lambda2[12],0.059576048,0.775414643,0.006331234,0.015403742,-1.471033542,-0.230440317,0.010769529,0.288810702,1.866293407
lambda2[13],-0.099320494,0.832612183,0.00679825,0.014963682,-2.039992523,-0.337279252,-0.034877597,0.193640491,1.557014846
lambda2[14],-0.083166799,0.855070336,0.00698162,0.017377686,-2.139133695,-0.306340437,-0.020088269,0.211364091,1.548904559
lambda2[15],-0.082366834,0.86972536,0.007101278,0.019895051,-2.016223666,-0.309220123,-0.024513087,0.209626392,1.601913457
lambda2[16],-0.092176914,0.835398715,0.006821002,0.015030935,-2.105347353,-0.311096875,-0.026543074,0.207929536,1.528946464
lambda2[17],-0.064712291,0.849099937,0.006932872,0.016173658,-1.975245899,-0.2942527,-0.016665767,0.231914418,1.538067295
lambda2[18],-0.07021673,0.848494964,0.006927932,0.015383324,-1.943386555,-0.313757733,-0.023971985,0.209396842,1.594947999
lambda2[19],-0.083986466,0.837358494,0.006837003,0.017414323,-2.058533366,-0.316557624,-0.024967203,0.210128847,1.591723877
lambda2[20],-0.137692924,0.896573559,0.007320492,0.022367057,-2.433254678,-0.338383215,-0.035639491,0.19740055,1.462135727
lambda2[21],0.342115702,0.655416622,0.005351454,0.029527866,-0.574127092,-0.037582656,0.164090196,0.580409313,2.076111559
lambda2[22],-0.08159574,0.841276735,0.006868996,0.016102237,-1.958800978,-0.312717855,-0.026974637,0.209153483,1.554812991
lambda2[23],-0.050871772,0.823649743,0.006725072,0.014503555,-1.928825154,-0.294142292,-0.01931528,0.225740559,1.684207283
lambda2[24],-0.067087231,0.840860918,0.006865601,0.013944851,-1.987286358,-0.303701914,-0.024601262,0.208162156,1.686798104
